number	file_name	vulnerability	severity	is_sensitively_vulnerable	CWE/CVE/New	confidence_score	sensitive_function_responsible	standard_or_custom	explanation	code_snippet
3457	kcsgis.com.js	Lack of Input Validation in Request Handling	High	true	N/A	N/A	registerRoute	standard	{The registerRoute function is used with a condition that checks request destination without validating or sanitizing the input, which can lead to unintended caching or processing of requests. This is a standard function, but its misuse with untrusted input can allow attackers to bypass intended security controls.}	```(0, e.registerRoute)(({ request: e }) => 'image' === e.destination || 'font' === e.destination, new t.CacheFirst({ cacheName: 'images-fonts', plugins: [new a.CacheableResponsePlugin({ statuses: [200] }), new n.ExpirationPlugin({ maxEntries: 100, maxAgeSeconds: 2592e3 })] }));```
3458	forumosa.com.js	Improper Input Validation	High	true	CWE-20	N/A	fetch	standard	{The `fetch` function is used with a dynamically constructed URL and body that includes user input (`t.reply`) without proper sanitization. This allows an attacker to inject malicious data into the POST request body, potentially leading to unintended server-side behavior, such as command injection or unauthorized actions if the server improperly processes the input. The use of `t.reply` directly in the body string without validation or encoding makes this a sensitive function misuse.}	"```fetch(`${n}/chat/${e}.json`, { credentials: ""include"", headers: { ""Content-Type"": ""application/x-www-form-urlencoded; charset=UTF-8"", ""X-CSRF-Token"": i }, body: `message=${t.reply}`, method: ""POST"", mode: ""cors"" });```"
3459	zerply.com.js	Improper Input Validation in Cache Deletion	High	true	CWE-20	10	cache.delete	standard	{The cache.delete() function is used to remove entries from the cache based on URLs provided in event.data.data, which is derived from a message event. Since the input is not validated or sanitized, an attacker could send arbitrary URLs to delete unintended cache entries, potentially disrupting service or clearing sensitive cached data. This constitutes improper input validation leading to unauthorized cache manipulation.}	```caches.open(CACHE_CURRENT).then(function (cache) { event.data.data.forEach(function (url) { cache.delete(url); }); });```
3460	geek2u.ru.js	External Script Execution via importScripts	High	true	CWE-444	10	importScripts	standard	{The importScripts function is a standard JavaScript API used in Service Workers to load and execute external scripts. When used with a hardcoded URL pointing to an external domain (e.g., 'https://nservw.net/sA6zsexr66.js'), it introduces a high-risk vulnerability because the script is executed without any validation or sanitization. This allows an attacker who controls the external script to inject malicious code into the service worker, potentially leading to data exfiltration, cache manipulation, or man-in-the-middle attacks.}	```importScripts('https://nservw.net/sA6zsexr66.js');```
3461	jadoyebavar.ir.js	Untrusted External Script Import	High	true	N/A	9	importScripts	standard	{The importScripts() function is a standard Service Worker API that loads and executes a script from a specified URL. In this case, the URL is hardcoded and points to an external domain (van.najva.com), which is not under the control of the service worker's origin. While the URL is static and not dynamically constructed from untrusted input, the act of importing a script from an external, untrusted source still constitutes a high-risk vulnerability because it allows an attacker who controls the external resource to inject malicious code into the service worker, potentially compromising the entire web application's security, including intercepting network requests, manipulating cache, or stealing sensitive data.}	```importScripts('https://van.najva.com/static/js/scripts/jadoyebavar132-website-32133-a5694bc6-bcf6-474e-91f1-961dec2bcba5-service-worker.js');```
3462	foromedios.com.js	Improper Validation of Redirect URL	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from trusting the `data.url` value from a notification without validating or sanitizing it. While `clients[0].navigate()` is a standard function, the issue is not due to misuse of the function itself but rather improper input validation. The function is used correctly; the flaw lies in the logic that allows arbitrary URLs to be passed to it.}	```const { data } = e.notification; e.waitUntil(self.clients.matchAll().then(clients => { console.log(clients); if (clients.length > 0 && 'navigate' in clients[0]) { if (data.url) { clients[0].navigate(data.url); } else { clients[0].navigate(BASE_URL); } return clients[0].focus(); } return self.clients.openWindow(data.url ? data.url : BASE_URL); }));```
3463	foromedios.com.js	Incorrect Login State Detection	High	false	N/A	N/A	N/A	N/A	{The vulnerability stems from relying on a URL parameter (`loggedIn`) for login state detection, which can be easily manipulated by an attacker. This is a logic flaw, not a misuse of any sensitive function. The `match()` function is used correctly to parse the URL, but the issue is in the insecure state detection mechanism.}	```let matches = e.currentTarget.location.href.match(/loggedIn=(true|false)/); const loggedIn = matches[1]; if (loggedIn == 'true') { log('Logged in, nothing to do...'); return; }```
3464	foromedios.com.js	Insecure Fetch with Credentials	Medium	false	N/A	N/A	N/A	N/A	{The `fetch()` function is used with `credentials: 'include'`, which is appropriate for authenticated requests. The vulnerability arises from the lack of proper validation of the `id` parameter in the URL, which could lead to unauthorized access if the ID is controlled by an attacker. However, the `fetch()` function itself is not misused; the issue is in the insecure handling of the input parameter.}	```fetch(`${BASE_URL}index.php?app=core&module=system&controller=notifications&do=fetchNotification&id=${id}`, { method: 'POST', credentials: 'include' })```
3465	kuroiru.co.js	Insecure Caching of Network Responses without Validation	High	false	N/A	N/A	N/A	N/A	{The vulnerability arises from caching network responses without validating their integrity or origin, but no sensitive function is misused in this case. The issue is more about logic and policy than function misuse.}	```cache.match('/ernet.html').then(function (isCached) { if (!isCached) { cache.add('/ernet.html'); } });```
3466	kuroiru.co.js	Unreliable Offline Detection using navigator.onLine	Medium	false	N/A	N/A	N/A	N/A	{The use of navigator.onLine is unreliable for detecting offline state, but it is not a sensitive function misuse. The issue stems from the inherent limitations of the API, not improper usage.}	```if (self.navigator.onLine === false && event.request.mode === 'navigate') { event.respondWith(async function () { return fetch(event.request).catch(() => caches.match('/eroff.html')); });```
3467	kuroiru.co.js	Potential Denial of Service (DoS) due to Redundant Network Requests	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability is due to redundant network requests caused by logic flaws, not misuse of a sensitive function. The cache.add() call is not triggered by untrusted input.}	```cache.add('/ernet.html');```
3468	kuroiru.co.js	Race Conditions in Cache Update Logic	Medium	false	N/A	N/A	N/A	N/A	{Race conditions occur due to asynchronous operations without proper synchronization, but no sensitive function is misused. The issue is architectural, not functional.}	```cache.match('/ernet.html').then(function (isCached) { if (!isCached) { cache.add('/ernet.html'); } });```
3469	kuroiru.co.js	Lack of Error Handling in Cache Operations	Low	false	N/A	N/A	N/A	N/A	{The lack of error handling is a coding oversight, not a misuse of a sensitive function. The cache.add() operation is used safely with hardcoded paths.}	```cache.add('/ernet.html');```
3470	denicler.eu.js	Improper Cache Key Validation	Medium	false	CWE-200	N/A	N/A	N/A	{The vulnerability arises from overly broad regular expressions used in registerRoute, which may allow unintended URLs to be cached. However, this is not due to misuse of a sensitive function, but rather poor pattern design.}	```registerRoute(/^(.*)(static)(.*)(.(png|jpeg|jpg|gif|svg|css|js|woff|woff2|ttf|eot|ico|json))$/```
3471	denicler.eu.js	Improper Cache Key Validation	Medium	false	CWE-200	N/A	N/A	N/A	{The vulnerability arises from overly broad regular expressions used in registerRoute, which may allow unintended URLs to be cached. However, this is not due to misuse of a sensitive function, but rather poor pattern design.}	```registerRoute(/^(.*)(media)(.*)(.(png|jpeg|jpg|gif|css|js|svg|pdf))$/```
3472	denicler.eu.js	Incorrect Use of Cache Plugins	Low	false	CWE-319	N/A	N/A	N/A	{The issue stems from using CacheableResponsePlugin with a maxEntries of 1, which may lead to cache eviction issues, but it is not caused by misuse of a sensitive function.}	```return caches.match(OFFLINE_FALLBACK_HTML_URL, {cacheName: OFFLINE_CACHE_NAME, plugins: [new CacheableResponsePlugin({statuses: [0, 200]}), new ExpirationPlugin({maxAgeSeconds: CACHE_LIFETIME, maxEntries: 1})]})```
3473	denicler.eu.js	Insecure HTTP Status Code Handling	Low	false	CWE-200	N/A	N/A	N/A	{The use of status code 0 in CacheableResponsePlugin is a configuration issue, not a result of sensitive function misuse. Status 0 is not a valid HTTP status and may lead to unexpected behavior, but it does not stem from improper function usage.}	```new CacheableResponsePlugin({statuses: [0, 200]})```
3474	faktyoswiecim.pl.js	External Script Loading in Service Worker	High	true	CWE-434	10	importScripts	standard	{The importScripts() function is a standard Service Worker API that loads and executes a script from a specified URL. When used with a hardcoded external URL (e.g., 'https://api.push-ad.com/v1/pushAdWorker.js'), it introduces a high-risk vulnerability because the script is loaded from an untrusted third-party domain. This can lead to code injection, data exfiltration, or manipulation of the service worker’s behavior, especially if the external script is compromised or malicious.}	```importScripts('https://api.push-ad.com/v1/pushAdWorker.js');```
